time	action	location	from_location	rider_count	notes
6:30:00	stop	Davids Way	Lake Forest Dr		
6:30:00	stop	Randall Ln	Davids Way		
6:31:00	stop	Little John Cv	Davids Way		
6:32:00	stop	Forest Ridge Dr	Davids Way		
6:33:00	stop	Laurel Cv	Rocky Ridge Cr		
6:34:00	stop	Sherry Cv	Rocky Ridge Cr		
6:35:00	stop	Meagan Cv	Rocky Ridge Cr		
6:35:00	stop	Rocky Ridge Cr	Forest Ridge Dr		
6:36:00	stop	Pine Ridge Ln	Forest Ridge Dr		
6:37:00	stop	Forest Ridge Dr	Blue Lake Ln		
6:38:00	stop	Hollandale Rd	Forest Ridge Dr		
6:38:00	stop	Holland Ridge Dr	Cedar Bend Ct		
6:39:00	stop	Lake Ridge Dr	Cedar Bend Ln		
6:39:00	stop	Lake Ridge Dr	Riverwood Dr		
6:40:00	stop	Riverwood Ct	Holland Ridge Dr		
6:41:00	stop	Holland Ridge Dr	Lake Forest Dr		
6:41:00	stop	310 Lake Forest Dr			
6:42:00	stop	Troy Cv	Lake Forest Dr		
6:42:00	stop	Alisa Cv	Lake Forest Dr		
6:45:00	stop	LaVergne Lake Elementary School			
