time	action	location	from_location	rider_count	notes
7:35:00	stop	Davids Way	Mable Dr		
7:36:00	stop	631 Mable Dr			
7:36:00	stop	655 Mable Dr			
7:38:00	stop	310 Lake Forest Dr			
7:38:00	stop	323 Lake Forest Dr			
7:38:00	stop	Troy Cv	Lake Forest Dr		
7:39:00	stop	Alisa Cv	Lake Forest Dr		
7:39:00	stop	Davids Way	Lake Forest Dr		
7:40:00	stop	Randall Ln	Davids Way		
7:41:00	stop	Little John Cv	Davids Way		
7:41:00	stop	Forest Ridge Dr	Davids Way		
7:41:00	stop	Laurel Cv	Rocky Ridge Cr		
7:43:00	stop	Meagan Cv	Rocky Ridge Cr		
7:43:00	stop	Rocky Ridge Cr	Forest Ridge Dr		
7:44:00	stop	Pine Ridge Ln	Forest Ridge Dr		
7:44:00	stop	Forest Ridge Dr	Blue Lake Ln		
7:45:00	stop	Hollandale Rd	Forest Ridge Dr		
7:56:00	stop	LaVergne High School			
