time	action	location	from_location	rider_count	notes
7:00:00	stop	Davids Way	Mable Dr		
7:01:00	stop	638 Mable Dr			
7:03:00	stop	670 Mable Dr			
7:05:00	stop	Troy Cv	Lake Forest Dr		
7:06:00	stop	Alisa Cv	Lake Forest Dr		
7:09:00	stop	Davids Way	Lake Forest Dr		
7:10:00	stop	Randall Ln	Davids Way		
7:11:00	stop	Little John Cv	Davids Way		
7:13:00	stop	Laurel Cv	Rocky Ridge Cr		
7:14:00	stop	Sherry Cv	Rocky Ridge Cr		
7:15:00	stop	Meagan Cv	Rocky Ridge Cr		
7:16:00	stop	Rocky Ridge Cr	Forest Ridge Dr		
7:17:00	stop	Pine Ridge Ln	Forest Ridge Dr		
7:18:00	stop	Forest Ridge Dr	Blue Lake Ln		
7:19:00	stop	Hollandale Rd	Forest Ridge Dr		
7:25:00	stop	LaVergne Middle School			
