time	action	location	from_location	rider_count	notes
14:30:00	stop	LaVergne Lake Elementary School			
14:45:00	stop	Davids Way	Lake Forest Dr		
14:45:00	stop	Randall Ln	Davids Way		
14:46:00	stop	Little John Cv	Davids Way		
14:46:00	stop	Forest Ridge Dr	Davids Way		
14:47:00	stop	606 Rocky Ridge Cr			
14:48:00	stop	Laurel Cv	Rocky Ridge Cr		
14:48:00	stop	Sherry Cv	Rocky Ridge Cr		
14:49:00	stop	Meagan Cv	Rocky Ridge Cr		
14:49:00	stop	Rocky Ridge Cr	Forest Ridge Dr		
14:49:00	stop	Pine Ridge Ln	Forest Ridge Dr		
14:50:00	stop	Forest Ridge Dr	Blue Lake Ln		
14:50:00	stop	Hollandale Rd	Forest Ridge Dr		
14:51:00	stop	Holland Ridge Dr	Cedar Bend Ct		
14:52:00	stop	Lake Ridge Dr	Cedar Bend Ln		
14:54:00	stop	Lake Ridge Dr	Riverwood Dr		
14:55:00	stop	Riverwood Ct	Holland Ridge Dr		
14:56:00	stop	Holland Ridge Dr	Lake Forest Dr		
14:57:00	stop	310 Lake Forest Dr			
14:57:00	stop	Alisa Cv	Lake Forest Dr		
