time	action	location	from_location	rider_count	notes
15:02:00	stop	LaVergne Middle School			
15:10:00	stop	Davids Way	Mable Dr		
15:11:00	stop	638 Mable Dr			
15:11:18	stop	670 Mable Dr			
15:12:42	stop	312 Lake Forest Dr			
15:13:00	stop	Troy Cv	Lake Forest Dr		
15:15:00	stop	Alisa Cv	Lake Forest Dr		
15:16:00	stop	Davids Way	Lake Forest Dr		
15:17:00	stop	Randall Ln	Davids Way		
15:18:00	stop	Little John Cv	Davids Way		
15:18:36	stop	Laurel Cv	Rocky Ridge Cr		
15:19:36	stop	Sherry Cv	Rocky Ridge Cr		
15:19:42	stop	Meagan Cv	Rocky Ridge Cr		
15:19:54	stop	Rocky Ridge Cr	Forest Ridge Dr		
15:20:06	stop	Pine Ridge Ln	Forest Ridge Dr		
15:23:06	stop	Forest Ridge Dr	Blue Lake Ln		
15:25:06	stop	Hollandale Rd	Forest Ridge Dr		
