time,action,location,from_location,rider_count,side,notes
,Left,Rock Springs Rd,School Parking Lot,,,
,Left,Old Nashville Hwy,Rock Springs Rd,,,
,Right,Sam Ridley Pkwy,Old Nashville Hwy,,,
,Right,Ramp toward Murfreesboro,Sam Ridley Pkwy,,,
,Right,Fergus Rd,Ramp toward Murfreesboro,,,Fergus Rd becomes Bill Stewart Blvd
,Stop,Hidden Forest Ln,Bill Stewart Blvd,5,Right,
,Stop,Redbud Ln,Bill Stewart Blvd,3,Right,
,Stop,Ruth Ln,Bill Stewart Blvd,3,Right,Wheelchair user requires assistance
,Stop,Drennan Ln,Bill Stewart Blvd,2,Left,
,Stop,Frontier Ln,Bill Stewart Blvd,3,Right,
,Stop,Riverwood Dr,Bill Stewart Blvd,2,Left,
,Left,Riverwood Dr,,,,
,Left,Holland Ridge Dr,,,,
,Left,Judge Mason Way,,,,
,Stop,Carmen Way,Judge Mason Way,5,Left,Rider waits inside for safety until bus arrives
,Right,Carmen Way,,,,
,Stop,Holland Ridge Dr,Carmen Way,9,Right,
,Left,Holland Ridge Dr,,,,
,Left,Lake Forest Dr,,,,
,Stop,216 Lake Forest Dr,,6,Right,
,Stop,Travis Ln,Lake Forest Dr,10,Right,
,Stop,Lake Forest Dr,Bill Stewart Blvd,5,Left,
