school_name	address	school_level
Barfield Elementary School	350 Veterans Pkwy, Murfreesboro, TN 37128	elementary
Blackman Elementary School	586 Fortress Blvd, Murfreesboro, TN 37128	elementary
Brown's Chapel Elementary School	6128 Baker Rd, Murfreesboro, TN 37129	elementary
Buchanan Elementary School	6050 Manchester Hwy, Murfreesboro, TN 37127	elementary
Cedar Grove Elementary School	354 Chaney Rd, Smyrna, TN 37167	elementary
Christiana Elementary School	4701 Shelbyville Hwy, Christiana, TN 37037	elementary
David Youree Elementary School	250 Todd Ln, Smyrna, TN 37167	elementary
Eagleville School	500 Hwy 99, Eagleville, TN 37060	elementary
Homer Pittard Campus School	923 E Lytle St, Murfreesboro, TN 37130	elementary
John Colemon Elementary School	1098 Espey Dr, Smyrna, TN 37167	elementary
Kittrell Elementary School	7801 Old Woodbury Pike, Readyville, TN 37149	elementary
Lascassas Elementary School	6300 Lascassas Pike, Lascassas, TN 37085	elementary
LaVergne Lake Elementary School	201 Davids Way, La Vergne, TN 37086	elementary
McFadden School of Excellence	221 Bridge Ave, Murfreesboro, TN 37129	elementary
Plainview Elementary School	7182 Otter Pond Way, Christiana, TN 37037	elementary
Poplar Hill Elementary School	5100 Baker Rd, Murfreesboro, TN 37129	elementary
Rock Springs Elementary School	1000 Waldron Rd, La Vergne, TN 37086	elementary
Rockvale Elementary School	6550 Hwy 99, Rockvale, TN 37153	elementary
Rocky Fork Elementary School	200 Thunderstorm Ln, Smyrna, TN 37167	elementary
Roy Waldron School	125 Floyd Mayfield Dr, La Vergne, TN 37086	elementary
Simon Springs Community School	220 Stones River Rd, La Vergne, TN 37086	elementary
Smyrna Elementary School	1001 Sam Davis Rd, Smyrna, TN 37167	elementary
Smyrna Primary School	200 Walnut St, Smyrna, TN 37167	elementary
Stewarts Creek Elementary School	200 Red Hawk Pkwy, Smyrna, TN 37167	elementary
Stewartsboro Elementary School	10479 Old Nashville Hwy, Smyrna, TN 37167	elementary
Thurman Francis Arts Academy	221 Todd Ln, Smyrna, TN 37167	elementary
Walter Hill Elementary School	6309 Lebanon Pike, Murfreesboro, TN 37129	elementary
Wilson Elementary School	1545 Cutoff Rd, Murfreesboro, TN 37129	elementary
Blackman Middle School	3945 Blaze Dr, Murfreesboro, TN 37128	middle
Christiana Middle School	4675 Shelbyville Pike, Christiana, TN 37037	middle
LaVergne Middle School	382 Stones River Rd, La Vergne, TN 37086	middle
Oakland Middle School	853 Dejarnette Ln, Murfreesboro, TN 37130	middle
Poplar Hill Middle School	3695 Blackman Rd, Murfreesboro, TN 37129	middle
Rock Springs Middle School	3301 Rock Springs Rd, Smyrna, TN 37167	middle
Rockvale Middle School	6543 Hwy 99, Rockvale, TN 37153	middle
Rocky Fork Middle School	100 Thunderstorm Ln, Smyrna, TN 37167	middle
Siegel Middle School	355 W Thompson Ln, Murfreesboro, TN 37129	middle
Smyrna Middle School	712 Hazelwood Dr, Smyrna, TN 37167	middle
Stewarts Creek Middle School	400 Red Hawk Pkwy, Smyrna, TN 37167	middle
Whitworth-Buchanan Middle School	5555 Manchester Pike, Murfreesboro, TN 37127	middle
Blackman High School	3956 Blaze Dr, Murfreesboro, TN 37128	high
Central Magnet School	701 E Main St, Murfreesboro, TN 37130	high
Holloway High School	619 S Highland Ave, Murfreesboro, TN 37130	high
LaVergne High School	250 Wolverine Trail, La Vergne, TN 37086	high
Oakland High School	2225 Patriot Dr, Murfreesboro, TN 37130	high
Riverdale High School	802 Warrior Dr, Murfreesboro, TN 37128	high
Rockvale High School	6545 Hwy 99, Rockvale, TN 37153	high
Siegel High School	3300 Siegel Rd, Murfreesboro, TN 37129	high
Smyrna High School	100 Bulldog Dr, Smyrna, TN 37167	high
Stewarts Creek High School	301 Red Hawk Pkwy, Smyrna, TN 37167	high
